rank,ticker,horizon,confidence_threshold,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,trades,exposure,oos_accuracy,oos_accuracy_std,status,sharpe_score,cagr_score,profit_factor_score,accuracy_score,drawdown_score,robustness_score
1,TSLA,1,0.65,0.8657037286697249,0.0988621753116059,0.0899030643498277,1.0930105436481972,0.1794919717201493,-0.1303166046563518,0.7586306869512748,0.8461538461538461,7.15951773229334,13,0.0167865707434052,0.5318859190988224,0.0594284586298474,success,0.909419695403791,0.9689063899538871,1.0,1.0,0.8206262095811129,0.9397011180490817
2,AMZN,1,0.6,0.54454852867065,0.0679258211849336,0.0535724809952345,1.2524747338821036,0.6503009612273745,-0.0536569740359645,1.265927168002524,0.7931034482758621,4.53132748748605,29,0.0335731414868105,0.5097273937532003,0.0496187054193917,success,1.0,0.7702478330720235,0.6107160612234779,0.6906999091501603,1.0,0.8297977652316243
3,AMZN,21,0.6,0.6825624177516185,0.0818324671923196,0.095800642143631,0.8683197588740635,0.3756061538447975,-0.1300465922169863,0.6292549908249798,0.6153846153846154,4.798475905843408,13,0.0875299760191846,0.5191768161552583,0.2521649491205658,success,0.7817887853232985,0.8595497015333865,0.6502857189914207,0.8225998060001329,0.8212580043643289,0.7830823912566203
4,TSLA,1,0.6,0.8309742059814635,0.0957452852996634,0.101827461516747,0.94854112989256,0.255254235788015,-0.1550821013275204,0.6173844981469356,0.6190476190476191,3.1113180059437364,21,0.0329736211031175,0.5318859190988224,0.0594284586298474,success,0.8273568605840967,0.9488912042860279,0.4003862020487164,1.0,0.7626780956446958,0.7824642537888822
5,AMZN,1,0.55,0.5546185739152298,0.0689754538097955,0.0909602180369758,0.7778940593242435,0.4853790278799943,-0.0785660519503405,0.8779294885963351,0.7,5.466641791273195,20,0.0995203836930455,0.5097273937532003,0.0496187054193917,success,0.7304243542461175,0.7769880747196781,0.7492535346395158,0.6906999091501603,0.9417159242070133,0.7692380031492501
6,AMZN,5,0.5,0.7565814387841199,0.0888961143668556,0.1129558734698368,0.8096862845188407,0.5198227920931822,-0.1141504362959524,0.7787628085483517,0.625,3.3570336541571093,24,0.1420863309352518,0.5289396825396825,0.111265010466723,success,0.7484832641348754,0.9049090851333478,0.43678126726308475,0.9588749151311576,0.8584529884461749,0.7654822352563491
7,AMZN,21,0.55,0.8060875939474179,0.093480759529736,0.1152433603132298,0.8322623140737562,0.4614959375889157,-0.2317984497535545,0.4032846622965929,0.5789473684210527,5.023496175737915,19,0.1151079136690647,0.5191768161552583,0.2521649491205658,success,0.7613071064699959,0.9343494965064512,0.6836154131192188,0.8225998060001329,0.5831715927707556,0.762850823681766
8,AMZN,21,0.5,0.7073415603335587,0.0842260119611448,0.1271879192222114,0.6982903917788114,0.4523719295096635,-0.2337921269281702,0.3602602579813233,0.6,5.7264472206468495,20,0.1462829736211031,0.5191768161552583,0.2521649491205658,success,0.6852071525492097,0.8749199079791743,0.787735558938148,0.8225998060001329,0.5785066416251741,0.7482592062920234
9,AMZN,5,0.6,0.4028408672569832,0.0525027198961693,0.0833871816982027,0.6544105901580825,0.3546031075973652,-0.1126633657750483,0.4660141256653032,0.6923076923076923,5.227599423254257,13,0.0803357314148681,0.5289396825396825,0.111265010466723,success,0.6602821471884656,0.6712080098231973,0.7138469065460072,0.9588749151311576,0.8619325444236311,0.7482167463635989
10,AMZN,1,0.5,0.8388878619428584,0.0964599037492788,0.1300026393230352,0.7723578891825992,0.5468715730072772,-0.1526147199863775,0.6320484928183131,0.6785714285714286,2.930187836967596,28,0.158273381294964,0.5097273937532003,0.0496187054193917,success,0.7272796483595417,0.9534801441895621,0.3735574495451247,0.6906999091501603,0.7684514543210673,0.702464117775484
11,AMZN,5,0.55,0.4839676795041074,0.0614858098885031,0.09741384676491,0.660561052913251,0.3481862867105158,-0.1112838727195023,0.5525132113570653,0.6111111111111112,2.8890905174947945,18,0.1013189448441247,0.5289396825396825,0.111265010466723,success,0.6637757891713686,0.7288931425608766,0.3674701708828822,0.9588749151311576,0.8651603828077625,0.6920106941310005
12,TSLA,1,0.55,0.920764648514528,0.1037042669212577,0.1551152145604459,0.7140212120795808,0.3011552120613435,-0.3045315542486436,0.3405370165240263,0.5789473684210527,1.8942482486698795,38,0.0773381294964028,0.5318859190988224,0.0594284586298474,success,0.6941427166548678,1.0,0.22011549683114465,1.0,0.41298537433171856,0.6642137205124471
13,TSLA,5,0.6,0.7039688954493424,0.0839019694872926,0.1356527455012577,0.6603953668122475,0.2799773456649865,-0.2246152048735474,0.3735364644371573,0.8,3.4535449932524043,15,0.0617505995203836,0.493368561187916,0.0891229104489554,success,0.6636816746402363,0.8728390612846891,0.45107639460169485,0.4623549123726821,0.5999794726314663,0.6232377513199701
14,GOOGL,1,0.5,0.2849871582549155,0.0386332083373703,0.1286985444272152,0.3582113233812684,0.3107428619313173,-0.1668795342333795,0.231503572411355,0.5645161290322581,1.527084813741469,62,0.2152278177458033,0.5301081413210446,0.0807600553859341,success,0.4920323365791816,0.5821446011343302,0.1657317518164723,0.9751848636314527,0.7350736023747574,0.5537237414648465
15,GOOGL,21,0.55,0.4017129075393539,0.052374745938472,0.1089835509665697,0.5223406558909451,0.3356522689972816,-0.1749749583524825,0.2993270947546931,0.6666666666666666,2.825689497513789,24,0.1546762589928057,0.4850298452661946,0.1235455620252437,success,0.5852625778646504,0.6703862219146898,0.35807929865458027,0.34595882770863623,0.7161313390538877,0.5405854024876278
16,AAPL,5,0.5,0.3254852985958265,0.0435166605386678,0.0992841396379917,0.4770030458533913,0.2952280893075679,-0.1126391162730314,0.3863370201980785,0.6176470588235294,2.650359215164374,34,0.1085131894484412,0.4810695340501792,0.07679653607678,success,0.5595094948631192,0.6135038092342562,0.3321096174130365,0.2906787673345283,0.8619892851756715,0.5298757416649242
17,GOOGL,5,0.5,0.2771700687116272,0.0376755788516676,0.1180396103639155,0.3718980627510211,0.2595006008471685,-0.2137366458381581,0.1762710306598319,0.6333333333333333,1.666478739918111,30,0.1768585131894484,0.5206082949308756,0.0618278992090254,success,0.4998068031802576,0.5759951599015898,0.1863785892099144,0.8425811228270443,0.6254339178548753,0.5226190468786661
18,AMZN,5,0.65,0.1322650201053701,0.0189557402281759,0.0647354819800946,0.3220156595284028,0.1619554773695592,-0.1941566205120178,0.0976311813534197,0.4736842105263157,1.8326539509148017,19,0.0599520383693045,0.5289396825396825,0.111265010466723,success,0.471472145278267,0.4557852569900519,0.21099223382396887,0.9588749151311576,0.6712486880386695,0.5193156822217583
19,TSLA,5,0.55,0.6640210882362221,0.0800218155345895,0.1556896570018609,0.5713899488601257,0.2886877678099182,-0.3639004833650877,0.2199002727190847,0.6363636363636364,2.2204984061853823,22,0.0947242206235011,0.493368561187916,0.0891229104489554,success,0.6131240048775748,0.8479225574986506,0.26843922324137187,0.4623549123726821,0.2740696273793104,0.5176732385740759
20,AAPL,21,0.55,0.1892515455633407,0.026547645720377,0.0655440455832723,0.4317684930590959,0.213935002399347,-0.1134331002875336,0.2340379100375752,0.7894736842105263,2.299974555065932,19,0.0719424460431654,0.4922966692892735,0.1255834345993313,success,0.533814951377397,0.5045368643348827,0.2802111215414047,0.4473928940767836,0.8601314635156831,0.5132227362273465
21,TSLA,1,0.5,0.5922271753439066,0.0728451776433767,0.2250352481295273,0.424815967044383,0.2886431283916374,-0.4518328470136727,0.1612215183664422,0.4354838709677419,1.4018692894146287,62,0.1732613908872901,0.5318859190988224,0.0594284586298474,success,0.5298657141022318,0.8018376012399283,0.14718499988242653,1.0,0.06831907470258045,0.5090120956605276
22,TSLA,21,0.65,0.4516506054064786,0.0579585573379981,0.1587656717742195,0.4333413001330379,0.2187895332574942,-0.4158161483184648,0.1393850565264938,0.6923076923076923,1.8718347857800992,13,0.0983213429256594,0.5242103330710727,0.1301426877722933,success,0.5347083516048698,0.7062428037855953,0.21679564541148652,0.8928602233822476,0.152593571084204,0.501838264490845
23,TSLA,21,0.5,0.4976212101263437,0.0629564623325085,0.2282394933392471,0.3775050411803622,0.2781093672971715,-0.4349866576364187,0.1447319388474906,0.6153846153846154,2.0177340059150186,13,0.1528776978417266,0.5242103330710727,0.1301426877722933,success,0.5029917302366025,0.7383369733046231,0.2384060380346084,0.8928602233822476,0.10773701630049912,0.496335707291239
24,GOOGL,21,0.5,0.3946781744128742,0.0515746338337301,0.1216437849760591,0.4737415578927946,0.3315432195546989,-0.2401582017045664,0.2147527482620616,0.6153846153846154,2.296011795135461,26,0.1912470023980815,0.4850298452661946,0.1235455620252437,success,0.5576568747076197,0.6652482824076327,0.27962416296897735,0.34595882770863623,0.5636108359254715,0.4927070010327241
25,AAPL,1,0.5,0.238118131240969,0.0328156794915832,0.1281967835247301,0.3147735737002037,0.2418838431082886,-0.1620275702269766,0.2025314546506705,0.5,1.6586186457488985,60,0.2086330935251798,0.5047873015873016,0.0202755818399087,success,0.467358429595342,0.5447871969492563,0.1852143628288939,0.6217435624670564,0.7464265813515834,0.49143336240702856
26,AAPL,5,0.55,0.19390478876114,0.0271538318768449,0.0882093065028833,0.3459317173672173,0.1834324137268454,-0.0830202566778554,0.3270747762466011,0.56,2.2707442145423875,25,0.0569544364508393,0.4810695340501792,0.07679653607678,success,0.4850571627082163,0.5084295036081657,0.27588156354488347,0.2906787673345283,0.9312936513782738,0.48567522504999505
27,GOOGL,21,0.65,0.1458785178336117,0.0207983630548824,0.0731695636474794,0.3172323565914003,0.1755183925368545,-0.1010430091105215,0.2058367346535877,0.6666666666666666,2.455315816118009,18,0.0863309352517985,0.4850298452661946,0.1235455620252437,success,0.4687550898918879,0.4676177046706108,0.303220056330788,0.34595882770863623,0.8891227017993857,0.4800563085940494
28,AAPL,1,0.55,0.0739881666267419,0.0108487691138134,0.0595836135078523,0.2107291284653338,0.0930831142975062,-0.0774697326585995,0.140038809242092,0.5,1.7136079174176624,28,0.0641486810551558,0.5047873015873016,0.0202755818399087,success,0.4082581543103757,0.4037261431181406,0.1933592984202054,0.6217435624670564,0.9442811719818525,0.4767982447681183
29,TSLA,5,0.65,0.3101984432162017,0.0416883779450265,0.1116826344937253,0.4195627473510487,0.1731603862717211,-0.2542012056668365,0.1639975618355821,0.4545454545454545,1.9536335895688748,11,0.0365707434052757,0.493368561187916,0.0891229104489554,success,0.5268817323114922,0.6017634477120861,0.2289115721747857,0.4623549123726821,0.5307519918481568,0.4731655593039479
30,AAPL,5,0.6,0.068296487251984,0.0100371150258276,0.0731815746225997,0.171173643894739,0.0675253975986538,-0.0893758815811197,0.1123022771721437,0.5,2.623568079591316,14,0.0287769784172661,0.4810695340501792,0.07679653607678,success,0.38578948698387716,0.3985140864825622,0.32814135111238274,0.2906787673345283,0.9164222970532765,0.44213309327232286
31,GOOGL,5,0.65,-0.022758605894942,-0.0034741181889448,0.0396757713668765,-0.0676481700224057,-0.0144667662096679,-0.0975394242431538,-0.0356175794136766,0.5,0.9231262429846612,10,0.0251798561151079,0.5206082949308756,0.0618278992090254,success,0.25013174077074374,0.3117513709682985,0.07627423566193366,0.8425811228270443,0.8973206450014087,0.4136299087315375
32,AAPL,21,0.5,0.0796214696662305,0.0116485112598729,0.0839692263058063,0.179435289847442,0.1081761167510902,-0.1420010100202291,0.0820311859627869,0.4285714285714285,1.33970931435283,28,0.1199040767386091,0.4922966692892735,0.1255834345993313,success,0.3904823425131605,0.4088617069264436,0.1379779495274848,0.4473928940767836,0.7932861863909664,0.4126144961148963
33,MSFT,1,0.5,0.0769817253539757,0.0112741972682757,0.1254105937295016,0.1515484488809369,0.1134011675936138,-0.2050171003384421,0.0549914970490963,0.5454545454545454,1.3040006086019753,33,0.2140287769784172,0.4951483870967742,0.0696383986717571,success,0.3746418046139188,0.4064580404476171,0.1326888249480258,0.4871986376080128,0.6458365458659481,0.3901771919843983
34,GOOGL,1,0.6,-0.0819589902349233,-0.0128438179608002,0.039569254582045,-0.3067024541398784,-0.0997112003102302,-0.1381211103173106,-0.0929895360042623,0.4210526315789473,0.6856966881075627,19,0.0257793764988009,0.5301081413210446,0.0807600553859341,success,0.11434194471291247,0.25158361404802504,0.04110649524164664,0.9751848636314527,0.8023646584697572,0.35947303358698957
35,GOOGL,5,0.55,-0.0980635521076253,-0.015481328601669,0.1018208762762959,-0.1023146488596334,-0.0526832450469684,-0.1951932629631402,-0.0793128224133049,0.5757575757575758,0.8438915387217798,33,0.1067146282973621,0.5206082949308756,0.0618278992090254,success,0.23044017109765205,0.2346467747705159,0.06453809980792166,0.8425811228270443,0.6688230764845551,0.35567965614172303
36,TSLA,5,0.5,0.3007651780125304,0.040551120754654,0.1944671297688806,0.3009313762520271,0.2013081516070667,-0.481030618989143,0.0843004980428684,0.5405405405405406,1.3496561886441232,37,0.1558752997601918,0.493368561187916,0.0891229104489554,success,0.4594956582778597,0.5944605227676066,0.13945126692156615,0.4623549123726821,0.0,0.35398429227709477
37,GOOGL,21,0.6,0.0355131554608922,0.0052893267409179,0.09349505733344,0.1029231713134348,0.0548227814964586,-0.2381049371488608,0.0222142673908989,0.5263157894736842,1.2010659450111367,19,0.1169064748201438,0.4850298452661946,0.1235455620252437,success,0.3470212306989921,0.3680260475495067,0.11744228358426845,0.34595882770863623,0.568415213967853,0.33835614168792605
38,MSFT,5,0.5,0.0830809361404436,0.0121378868898136,0.0999427052006639,0.1706138695666147,0.0975541228053582,-0.1850957022152531,0.0655762761887261,0.5,1.338354046618056,30,0.1414868105515587,0.4614205837173578,0.0688722329977206,success,0.3854715188615529,0.41200424453831286,0.1377772091271534,0.016408614955169768,0.6924500849983659,0.3319265513845895
39,AAPL,21,0.6,-0.0443289987417137,-0.0068308369828659,0.0566298850311923,-0.0931071368011711,-0.0366463986240087,-0.155227975880453,-0.044005192647275,0.5714285714285714,0.8520465018105596,14,0.0389688249400479,0.4922966692892735,0.1255834345993313,success,0.23567030612423961,0.2901961188940515,0.06574600176937581,0.4473928940767836,0.7623367677349027,0.3233489652417103
40,GOOGL,5,0.6,-0.1224581932977356,-0.0195537066541835,0.062581349617079,-0.2838871753404678,-0.0979468752164084,-0.1657491400059473,-0.117971692966141,0.4444444444444444,0.4997067085622107,18,0.0491606714628297,0.5206082949308756,0.0618278992090254,success,0.1273016875872636,0.20849589921235184,0.013557914253861913,0.8425811228270443,0.7377185811673922,0.3196462245685873
41,GOOGL,1,0.55,-0.179668917103047,-0.0294950326532402,0.0846007634510097,-0.3113299406972434,-0.1841700438080261,-0.2596553816337604,-0.1135929957147682,0.4791666666666667,0.7575384498069652,48,0.1151079136690647,0.5301081413210446,0.0807600553859341,success,0.11171339756846486,0.14465743045232315,0.05174759857054144,0.9751848636314527,0.5179899134389433,0.29677124163567176
42,AAPL,5,0.65,-0.0529683849114835,-0.008193332405649,0.0337895678162295,-0.2262524618895655,-0.0395330302236436,-0.0846460588207732,-0.0967952025149487,0.3,0.4393285651037152,10,0.01378896882494,0.4810695340501792,0.07679653607678,success,0.1600398834921892,0.2814468211151361,0.0046147863551201426,0.2906787673345283,0.9274894810413409,0.28794952379808836
43,MSFT,21,0.65,-0.0413119238873586,-0.0063574844778646,0.0494189666522446,-0.1041256578312034,-0.0295917322245569,-0.0577311671207878,-0.1101222233141975,0.3,0.5567213727593353,10,0.0353717026378896,0.4602450563860477,0.1593995098839041,success,0.22941146525447395,0.29323576361608095,0.022002848211945623,0.0,0.990466906106787,0.28044119785796556
44,MSFT,5,0.55,0.0025846595043041,0.0003902944438796,0.0826285725556394,0.0457579685272384,0.021267137368701,-0.2101022718654606,0.0018576402835355,0.5238095238095238,1.0839235283070194,21,0.0917266187050359,0.4614205837173578,0.0688722329977206,success,0.31454973052655577,0.3365667914826071,0.100091309292176,0.016408614955169768,0.6339378909370144,0.279248515196751
