ticker,horizon,confidence_threshold,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,trades,exposure,oos_accuracy,oos_accuracy_std,status
AAPL,1,0.5,0.23811813124096903,0.03281567949158326,0.12819678352473018,0.31477357370020376,0.24188384310828867,-0.16202757022697667,0.20253145465067054,0.5,1.6586186457488983,60,0.20863309352517986,0.5047873015873016,0.02027558183990878,success
AAPL,1,0.55,0.0739881666267419,0.010848769113813495,0.05958361350785235,0.21072912846533381,0.09308311429750624,-0.07746973265859958,0.14003880924209205,0.5,1.7136079174176624,28,0.06414868105515588,0.5047873015873016,0.02027558183990878,success
AAPL,1,0.6,-0.035615632100174155,-0.005467223296166668,0.03278493656631036,-0.15061056421182634,-0.031795257455993306,-0.08631794461655184,-0.06333820065403067,0.5,0.5668325559406086,6,0.02158273381294964,0.5047873015873016,0.02027558183990878,success
AAPL,1,0.65,-0.008668324535827887,-0.0013152353833685293,0.022967650978688324,-0.045663101599726016,-0.0051681903263261835,-0.041869041191031964,-0.031413076248095285,0.6,0.8637390284339963,5,0.007194244604316547,0.5047873015873016,0.02027558183990878,success
AAPL,5,0.5,0.32548529859582653,0.04351666053866787,0.09928413963799171,0.4770030458533913,0.2952280893075679,-0.11263911627303147,0.38633702019807853,0.6176470588235294,2.650359215164374,34,0.10851318944844125,0.4810695340501792,0.07679653607678001,success
AAPL,5,0.55,0.19390478876114003,0.027153831876844947,0.08820930650288336,0.34593171736721734,0.18343241372684546,-0.0830202566778554,0.32707477624660114,0.56,2.2707442145423875,25,0.05695443645083933,0.4810695340501792,0.07679653607678001,success
AAPL,5,0.6,0.068296487251984,0.010037115025827603,0.07318157462259973,0.17117364389473907,0.06752539759865388,-0.08937588158111975,0.1123022771721437,0.5,2.623568079591316,14,0.02877697841726619,0.4810695340501792,0.07679653607678001,success
AAPL,5,0.65,-0.05296838491148359,-0.008193332405649012,0.0337895678162295,-0.22625246188956555,-0.039533030223643656,-0.08464605882077325,-0.09679520251494876,0.3,0.43932856510371526,10,0.013788968824940047,0.4810695340501792,0.07679653607678001,success
AAPL,21,0.5,0.07962146966623052,0.011648511259872985,0.08396922630580637,0.17943528984744206,0.10817611675109026,-0.14200101002022913,0.08203118596278691,0.42857142857142855,1.33970931435283,28,0.11990407673860912,0.49229666928927357,0.12558343459933133,success
AAPL,21,0.55,0.18925154556334078,0.026547645720377044,0.06554404558327234,0.4317684930590959,0.21393500239934707,-0.11343310028753362,0.23403791003757526,0.7894736842105263,2.2999745550659316,19,0.07194244604316546,0.49229666928927357,0.12558343459933133,success
AAPL,21,0.6,-0.0443289987417137,-0.006830836982865907,0.056629885031192394,-0.0931071368011711,-0.03664639862400876,-0.155227975880453,-0.04400519264727509,0.5714285714285714,0.8520465018105596,14,0.03896882494004796,0.49229666928927357,0.12558343459933133,success
AAPL,21,0.65,-0.018910074596389714,-0.0028818451567166337,0.024871175575583583,-0.10352187854263062,-0.024364218028723777,-0.05267843329425026,-0.054706356596052774,0.2857142857142857,0.7958424351040868,7,0.01738609112709832,0.49229666928927357,0.12558343459933133,success
MSFT,1,0.5,0.07698172535397574,0.01127419726827572,0.12541059372950164,0.15154844888093696,0.11340116759361385,-0.20501710033844212,0.054991497049096304,0.5454545454545454,1.3040006086019753,33,0.21402877697841727,0.4951483870967742,0.06963839867175715,success
MSFT,1,0.55,-0.2977064822031533,-0.05202199331262325,0.0959838038673445,-0.5079983727691673,-0.25919999702105,-0.3517856521546916,-0.1478798040624678,0.35,0.4081725494753406,40,0.08752997601918465,0.4951483870967742,0.06963839867175715,success
MSFT,1,0.6,-0.18542450840121394,-0.030527462129424476,0.055439429024579094,-0.5309391917395009,-0.15694686909099145,-0.22272261866281073,-0.13706493894830368,0.2222222222222222,0.06083970168668467,9,0.03477218225419664,0.4951483870967742,0.06963839867175715,success
MSFT,1,0.65,-0.09308589957910163,-0.01466187841674893,0.04684631705572389,-0.2915341971903855,-0.06497062329990848,-0.13308031753289806,-0.1101731547426196,0.0,0.0,4,0.023381294964028777,0.4951483870967742,0.06963839867175715,success
